feature,block
vib_2_keyphase_order_energy_20_50,vibration_keyphase_order
vib_2_keyphase_peak_order,vibration_keyphase_order
vib_2_keyphase_peak_order_amp,vibration_keyphase_order
vib_2_keyphase_order_entropy,vibration_keyphase_order
vib_2_keyphase_pulse_count,vibration_keyphase_order
vib_2_keyphase_estimated_rpm,vibration_keyphase_order
vib_2_keyphase_rpm_std,vibration_keyphase_order
vib_2_keyphase_angle_revolutions,vibration_keyphase_order
cur_0_mean,current_time
cur_0_std,current_time
cur_0_rms,current_time
cur_0_peak,current_time
cur_0_peak_to_peak,current_time
cur_0_skewness,current_time
cur_0_kurtosis,current_time
cur_0_crest_factor,current_time
cur_0_impulse_factor,current_time
cur_0_shape_factor,current_time
cur_0_clearance_factor,current_time
cur_0_energy,current_time
cur_0_dominant_frequency,current_frequency
cur_0_spectral_centroid,current_frequency
cur_0_spectral_entropy,current_frequency
cur_0_spectral_kurtosis,current_frequency
cur_0_band_energy_0_500,current_frequency
cur_0_band_energy_500_2000,current_frequency
cur_0_band_energy_2000_5000,current_frequency
cur_0_high_frequency_ratio,current_frequency
cur_0_order_energy_0.5_1.5,current_nominal_order
cur_0_order_energy_1.5_2.5,current_nominal_order
cur_0_order_energy_2.5_5,current_nominal_order
cur_0_order_energy_5_10,current_nominal_order
cur_0_order_energy_10_20,current_nominal_order
cur_0_order_energy_20_50,current_nominal_order
cur_0_peak_order,current_nominal_order
cur_0_peak_order_amp,current_nominal_order
cur_0_order_entropy,current_nominal_order
cur_1_mean,current_time
cur_1_std,current_time
cur_1_rms,current_time
cur_1_peak,current_time
cur_1_peak_to_peak,current_time
cur_1_skewness,current_time
cur_1_kurtosis,current_time
cur_1_crest_factor,current_time
cur_1_impulse_factor,current_time
cur_1_shape_factor,current_time
cur_1_clearance_factor,current_time
cur_1_energy,current_time
cur_1_dominant_frequency,current_frequency
cur_1_spectral_centroid,current_frequency
cur_1_spectral_entropy,current_frequency
cur_1_spectral_kurtosis,current_frequency
cur_1_band_energy_0_500,current_frequency
cur_1_band_energy_500_2000,current_frequency
cur_1_band_energy_2000_5000,current_frequency
cur_1_high_frequency_ratio,current_frequency
cur_1_order_energy_0.5_1.5,current_nominal_order
cur_1_order_energy_1.5_2.5,current_nominal_order
cur_1_order_energy_2.5_5,current_nominal_order
cur_1_order_energy_5_10,current_nominal_order
cur_1_order_energy_10_20,current_nominal_order
cur_1_order_energy_20_50,current_nominal_order
cur_1_peak_order,current_nominal_order
cur_1_peak_order_amp,current_nominal_order
cur_1_order_entropy,current_nominal_order
cur_2_mean,current_time
cur_2_std,current_time
cur_2_rms,current_time
cur_2_peak,current_time
cur_2_peak_to_peak,current_time
cur_2_skewness,current_time
cur_2_kurtosis,current_time
cur_2_crest_factor,current_time
cur_2_impulse_factor,current_time
cur_2_shape_factor,current_time
cur_2_clearance_factor,current_time
cur_2_energy,current_time
cur_2_dominant_frequency,current_frequency
cur_2_spectral_centroid,current_frequency
cur_2_spectral_entropy,current_frequency
cur_2_spectral_kurtosis,current_frequency
cur_2_band_energy_0_500,current_frequency
cur_2_band_energy_500_2000,current_frequency
cur_2_band_energy_2000_5000,current_frequency
cur_2_high_frequency_ratio,current_frequency
cur_2_order_energy_0.5_1.5,current_nominal_order
cur_2_order_energy_1.5_2.5,current_nominal_order
cur_2_order_energy_2.5_5,current_nominal_order
cur_2_order_energy_5_10,current_nominal_order
cur_2_order_energy_10_20,current_nominal_order
cur_2_order_energy_20_50,current_nominal_order
cur_2_peak_order,current_nominal_order
cur_2_peak_order_amp,current_nominal_order
cur_2_order_entropy,current_nominal_order
torque_0_mean,torque_time
torque_0_std,torque_time
torque_0_rms,torque_time
torque_0_peak,torque_time
torque_0_peak_to_peak,torque_time
torque_0_skewness,torque_time
torque_0_kurtosis,torque_time
torque_0_crest_factor,torque_time
torque_0_impulse_factor,torque_time
torque_0_shape_factor,torque_time
torque_0_clearance_factor,torque_time
torque_0_energy,torque_time
key_phase_0_mean,key_phase_time
key_phase_0_std,key_phase_time
key_phase_0_rms,key_phase_time
key_phase_0_peak,key_phase_time
key_phase_0_peak_to_peak,key_phase_time
key_phase_0_skewness,key_phase_time
key_phase_0_kurtosis,key_phase_time
key_phase_0_crest_factor,key_phase_time
key_phase_0_impulse_factor,key_phase_time
key_phase_0_shape_factor,key_phase_time
key_phase_0_clearance_factor,key_phase_time
key_phase_0_energy,key_phase_time
