"recording_id","original_recording_name","publication_label","dataset_label","severity","condition_type","rpm_nominal","load_nm","source_file_role","cross_condition_role","cross_load_role","cross_rpm_role"
"mcc5_000019_bearing_inner_L_speed_circulation_20Nm_2000rpm_250707114350","bearing_inner_L_speed_circulation_20Nm_2000rpm_250707114350","inner_race","bearing_inner","L","speed_circulation","2000.0","20.0","train","train","train","train"
"mcc5_000020_bearing_inner_L_speed_circulation_20Nm_3000rpm_250707114743","bearing_inner_L_speed_circulation_20Nm_3000rpm_250707114743","inner_race","bearing_inner","L","speed_circulation","3000.0","20.0","train","train","val","test"
"mcc5_000021_bearing_inner_L_speed_circulation_40Nm_1000rpm_250707114105","bearing_inner_L_speed_circulation_40Nm_1000rpm_250707114105","inner_race","bearing_inner","L","speed_circulation","1000.0","40.0","train","train","test","train"
"mcc5_000022_bearing_inner_L_speed_circulation_40Nm_2000rpm_250707114548","bearing_inner_L_speed_circulation_40Nm_2000rpm_250707114548","inner_race","bearing_inner","L","speed_circulation","2000.0","40.0","train","train","test","train"
"mcc5_000023_bearing_inner_L_speed_circulation_40Nm_3000rpm_250707114941","bearing_inner_L_speed_circulation_40Nm_3000rpm_250707114941","inner_race","bearing_inner","L","speed_circulation","3000.0","40.0","train","val","test","test"
"mcc5_000030_bearing_outer_H_speed_circulation_20Nm_1000rpm_250707104821","bearing_outer_H_speed_circulation_20Nm_1000rpm_250707104821","outer_race","bearing_outer","H","speed_circulation","1000.0","20.0","train","val","val","train"
"mcc5_000031_bearing_outer_H_speed_circulation_20Nm_2000rpm_250707105253","bearing_outer_H_speed_circulation_20Nm_2000rpm_250707105253","outer_race","bearing_outer","H","speed_circulation","2000.0","20.0","train","train","train","train"
"mcc5_000032_bearing_outer_H_speed_circulation_20Nm_3000rpm_250707105700","bearing_outer_H_speed_circulation_20Nm_3000rpm_250707105700","outer_race","bearing_outer","H","speed_circulation","3000.0","20.0","train","val","val","test"
"mcc5_000033_bearing_outer_H_speed_circulation_20Nm_3000rpm_250821110519","bearing_outer_H_speed_circulation_20Nm_3000rpm_250821110519","outer_race","bearing_outer","H","speed_circulation","3000.0","20.0","train","train","train","test"
"mcc5_000034_bearing_outer_H_speed_circulation_40Nm_1000rpm_250707105055","bearing_outer_H_speed_circulation_40Nm_1000rpm_250707105055","outer_race","bearing_outer","H","speed_circulation","1000.0","40.0","train","train","test","train"
"mcc5_000035_bearing_outer_H_speed_circulation_40Nm_2000rpm_250707105500","bearing_outer_H_speed_circulation_40Nm_2000rpm_250707105500","outer_race","bearing_outer","H","speed_circulation","2000.0","40.0","train","train","test","train"
"mcc5_000036_bearing_outer_H_speed_circulation_40Nm_3000rpm_250707105959","bearing_outer_H_speed_circulation_40Nm_3000rpm_250707105959","outer_race","bearing_outer","H","speed_circulation","3000.0","40.0","test","train","test","test"
"mcc5_000037_bearing_outer_L_speed_circulation_20Nm_1000rpm_250708094556","bearing_outer_L_speed_circulation_20Nm_1000rpm_250708094556","outer_race","bearing_outer","L","speed_circulation","1000.0","20.0","val","train","train","train"
"mcc5_000038_bearing_outer_L_speed_circulation_20Nm_2000rpm_250708095712","bearing_outer_L_speed_circulation_20Nm_2000rpm_250708095712","outer_race","bearing_outer","L","speed_circulation","2000.0","20.0","train","val","train","train"
"mcc5_000039_bearing_outer_L_speed_circulation_20Nm_3000rpm_250708100411","bearing_outer_L_speed_circulation_20Nm_3000rpm_250708100411","outer_race","bearing_outer","L","speed_circulation","3000.0","20.0","train","train","train","test"
"mcc5_000040_bearing_outer_L_speed_circulation_40Nm_1000rpm_250708094556","bearing_outer_L_speed_circulation_40Nm_1000rpm_250708094556","outer_race","bearing_outer","L","speed_circulation","1000.0","40.0","val","train","test","train"
"mcc5_000041_bearing_outer_L_speed_circulation_40Nm_2000rpm_250708100011","bearing_outer_L_speed_circulation_40Nm_2000rpm_250708100011","outer_race","bearing_outer","L","speed_circulation","2000.0","40.0","val","train","test","val"
"mcc5_000042_bearing_outer_L_speed_circulation_40Nm_3000rpm_250708100602","bearing_outer_L_speed_circulation_40Nm_3000rpm_250708100602","outer_race","bearing_outer","L","speed_circulation","3000.0","40.0","train","train","test","test"
"mcc5_000085_health_speed_circulation_20Nm_1000rpm_250702161631","health_speed_circulation_20Nm_1000rpm_250702161631","healthy","healthy","","speed_circulation","1000.0","20.0","train","train","train","train"
"mcc5_000086_health_speed_circulation_20Nm_2000rpm_250702162116","health_speed_circulation_20Nm_2000rpm_250702162116","healthy","healthy","","speed_circulation","2000.0","20.0","train","train","train","train"
"mcc5_000087_health_speed_circulation_20Nm_3000rpm_250702162533","health_speed_circulation_20Nm_3000rpm_250702162533","healthy","healthy","","speed_circulation","3000.0","20.0","train","train","train","test"
"mcc5_000088_health_speed_circulation_40Nm_1000rpm_250702161900","health_speed_circulation_40Nm_1000rpm_250702161900","healthy","healthy","","speed_circulation","1000.0","40.0","train","train","test","train"
"mcc5_000089_health_speed_circulation_40Nm_2000rpm_250702162327","health_speed_circulation_40Nm_2000rpm_250702162327","healthy","healthy","","speed_circulation","2000.0","40.0","train","train","test","train"
"mcc5_000090_health_speed_circulation_40Nm_3000rpm_250702162804","health_speed_circulation_40Nm_3000rpm_250702162804","healthy","healthy","","speed_circulation","3000.0","40.0","test","val","test","test"
"mcc5_000145_bearing_ball_H_torque_circulation_20Nm_1000rpm_250707135802d","bearing_ball_H_torque_circulation_20Nm_1000rpm_250707135802d","rolling_element","bearing_ball","H","torque_circulation","1000.0","20.0","test","test","train","train"
"mcc5_000146_bearing_ball_H_torque_circulation_20Nm_2000rpm_250707140027d","bearing_ball_H_torque_circulation_20Nm_2000rpm_250707140027d","rolling_element","bearing_ball","H","torque_circulation","2000.0","20.0","train","test","train","train"
"mcc5_000147_bearing_ball_H_torque_circulation_20Nm_3000rpm_250707140229d","bearing_ball_H_torque_circulation_20Nm_3000rpm_250707140229d","rolling_element","bearing_ball","H","torque_circulation","3000.0","20.0","train","test","train","test"
"mcc5_000148_bearing_ball_H_torque_circulation_40Nm_1000rpm_250707140440d","bearing_ball_H_torque_circulation_40Nm_1000rpm_250707140440d","rolling_element","bearing_ball","H","torque_circulation","1000.0","40.0","train","test","test","val"
"mcc5_000149_bearing_ball_H_torque_circulation_40Nm_2000rpm_250707142821d","bearing_ball_H_torque_circulation_40Nm_2000rpm_250707142821d","rolling_element","bearing_ball","H","torque_circulation","2000.0","40.0","val","test","test","val"
"mcc5_000150_bearing_ball_H_torque_circulation_40Nm_3000rpm_250707143025d","bearing_ball_H_torque_circulation_40Nm_3000rpm_250707143025d","rolling_element","bearing_ball","H","torque_circulation","3000.0","40.0","train","test","test","test"
"mcc5_000151_bearing_ball_L_torque_circulation_20Nm_1000rpm_250707153516d","bearing_ball_L_torque_circulation_20Nm_1000rpm_250707153516d","rolling_element","bearing_ball","L","torque_circulation","1000.0","20.0","val","test","val","train"
"mcc5_000152_bearing_ball_L_torque_circulation_20Nm_2000rpm_250707153733d","bearing_ball_L_torque_circulation_20Nm_2000rpm_250707153733d","rolling_element","bearing_ball","L","torque_circulation","2000.0","20.0","train","test","train","train"
"mcc5_000153_bearing_ball_L_torque_circulation_20Nm_3000rpm_250707153938d","bearing_ball_L_torque_circulation_20Nm_3000rpm_250707153938d","rolling_element","bearing_ball","L","torque_circulation","3000.0","20.0","train","test","train","test"
"mcc5_000154_bearing_ball_L_torque_circulation_40Nm_1000rpm_250707154144d","bearing_ball_L_torque_circulation_40Nm_1000rpm_250707154144d","rolling_element","bearing_ball","L","torque_circulation","1000.0","40.0","train","test","test","train"
"mcc5_000155_bearing_ball_L_torque_circulation_40Nm_2000rpm_250707154410d","bearing_ball_L_torque_circulation_40Nm_2000rpm_250707154410d","rolling_element","bearing_ball","L","torque_circulation","2000.0","40.0","train","test","test","train"
"mcc5_000156_bearing_ball_L_torque_circulation_40Nm_3000rpm_250707154630d","bearing_ball_L_torque_circulation_40Nm_3000rpm_250707154630d","rolling_element","bearing_ball","L","torque_circulation","3000.0","40.0","train","test","test","test"
"mcc5_000157_bearing_inner_H_torque_circulation_20Nm_1000rpm_250704084736d","bearing_inner_H_torque_circulation_20Nm_1000rpm_250704084736d","inner_race","bearing_inner","H","torque_circulation","1000.0","20.0","test","test","train","train"
"mcc5_000158_bearing_inner_H_torque_circulation_20Nm_2000rpm_250704084956d","bearing_inner_H_torque_circulation_20Nm_2000rpm_250704084956d","inner_race","bearing_inner","H","torque_circulation","2000.0","20.0","test","test","train","train"
"mcc5_000159_bearing_inner_H_torque_circulation_20Nm_3000rpm_250704085209d","bearing_inner_H_torque_circulation_20Nm_3000rpm_250704085209d","inner_race","bearing_inner","H","torque_circulation","3000.0","20.0","train","test","train","test"
"mcc5_000160_bearing_inner_H_torque_circulation_40Nm_1000rpm_250704085422d","bearing_inner_H_torque_circulation_40Nm_1000rpm_250704085422d","inner_race","bearing_inner","H","torque_circulation","1000.0","40.0","train","test","test","train"
"mcc5_000161_bearing_inner_H_torque_circulation_40Nm_2000rpm_250704085637d","bearing_inner_H_torque_circulation_40Nm_2000rpm_250704085637d","inner_race","bearing_inner","H","torque_circulation","2000.0","40.0","train","test","test","val"
"mcc5_000162_bearing_inner_H_torque_circulation_40Nm_3000rpm_250704085907d","bearing_inner_H_torque_circulation_40Nm_3000rpm_250704085907d","inner_race","bearing_inner","H","torque_circulation","3000.0","40.0","train","test","test","test"
"mcc5_000163_bearing_inner_L_torque_circulation_20Nm_1000rpm_250707112415d","bearing_inner_L_torque_circulation_20Nm_1000rpm_250707112415d","inner_race","bearing_inner","L","torque_circulation","1000.0","20.0","train","test","train","val"
"mcc5_000164_bearing_inner_L_torque_circulation_20Nm_2000rpm_250707112622d","bearing_inner_L_torque_circulation_20Nm_2000rpm_250707112622d","inner_race","bearing_inner","L","torque_circulation","2000.0","20.0","train","test","train","train"
"mcc5_000165_bearing_inner_L_torque_circulation_20Nm_3000rpm_250707112823d","bearing_inner_L_torque_circulation_20Nm_3000rpm_250707112823d","inner_race","bearing_inner","L","torque_circulation","3000.0","20.0","test","test","val","test"
"mcc5_000166_bearing_inner_L_torque_circulation_40Nm_1000rpm_250707113035d","bearing_inner_L_torque_circulation_40Nm_1000rpm_250707113035d","inner_race","bearing_inner","L","torque_circulation","1000.0","40.0","val","test","test","train"
"mcc5_000167_bearing_inner_L_torque_circulation_40Nm_2000rpm_250707113243d","bearing_inner_L_torque_circulation_40Nm_2000rpm_250707113243d","inner_race","bearing_inner","L","torque_circulation","2000.0","40.0","train","test","test","train"
"mcc5_000168_bearing_inner_L_torque_circulation_40Nm_3000rpm_250707113444d","bearing_inner_L_torque_circulation_40Nm_3000rpm_250707113444d","inner_race","bearing_inner","L","torque_circulation","3000.0","40.0","val","test","test","test"
"mcc5_000175_bearing_outer_H_torque_circulation_20Nm_1000rpm_250707103949d","bearing_outer_H_torque_circulation_20Nm_1000rpm_250707103949d","outer_race","bearing_outer","H","torque_circulation","1000.0","20.0","test","test","train","train"
"mcc5_000176_bearing_outer_H_torque_circulation_20Nm_2000rpm_250707103802d","bearing_outer_H_torque_circulation_20Nm_2000rpm_250707103802d","outer_race","bearing_outer","H","torque_circulation","2000.0","20.0","train","test","val","train"
"mcc5_000177_bearing_outer_H_torque_circulation_20Nm_3000rpm_250821175544","bearing_outer_H_torque_circulation_20Nm_3000rpm_250821175544","outer_race","bearing_outer","H","torque_circulation","3000.0","20.0","train","test","train","test"
"mcc5_000178_bearing_outer_H_torque_circulation_40Nm_1000rpm_250707104154d","bearing_outer_H_torque_circulation_40Nm_1000rpm_250707104154d","outer_race","bearing_outer","H","torque_circulation","1000.0","40.0","train","test","test","train"
"mcc5_000179_bearing_outer_H_torque_circulation_40Nm_2000rpm_250707104408d","bearing_outer_H_torque_circulation_40Nm_2000rpm_250707104408d","outer_race","bearing_outer","H","torque_circulation","2000.0","40.0","val","test","test","val"
"mcc5_000180_bearing_outer_H_torque_circulation_40Nm_3000rpm_250707104611d","bearing_outer_H_torque_circulation_40Nm_3000rpm_250707104611d","outer_race","bearing_outer","H","torque_circulation","3000.0","40.0","train","test","test","test"
"mcc5_000181_bearing_outer_L_torque_circulation_20Nm_1000rpm_250708093600d","bearing_outer_L_torque_circulation_20Nm_1000rpm_250708093600d","outer_race","bearing_outer","L","torque_circulation","1000.0","20.0","train","test","train","train"
"mcc5_000182_bearing_outer_L_torque_circulation_20Nm_2000rpm_250708093806d","bearing_outer_L_torque_circulation_20Nm_2000rpm_250708093806d","outer_race","bearing_outer","L","torque_circulation","2000.0","20.0","train","test","train","train"
"mcc5_000183_bearing_outer_L_torque_circulation_20Nm_3000rpm_250708094011d","bearing_outer_L_torque_circulation_20Nm_3000rpm_250708094011d","outer_race","bearing_outer","L","torque_circulation","3000.0","20.0","train","test","train","test"
"mcc5_000184_bearing_outer_L_torque_circulation_40Nm_1000rpm_250708094205d","bearing_outer_L_torque_circulation_40Nm_1000rpm_250708094205d","outer_race","bearing_outer","L","torque_circulation","1000.0","40.0","test","test","test","val"
"mcc5_000185_bearing_outer_L_torque_circulation_40Nm_2000rpm_250708094403d","bearing_outer_L_torque_circulation_40Nm_2000rpm_250708094403d","outer_race","bearing_outer","L","torque_circulation","2000.0","40.0","train","test","test","train"
"mcc5_000186_bearing_outer_L_torque_circulation_40Nm_3000rpm_250708094556d","bearing_outer_L_torque_circulation_40Nm_3000rpm_250708094556d","outer_race","bearing_outer","L","torque_circulation","3000.0","40.0","train","test","test","test"
"mcc5_000229_health_torque_circulation_20Nm_1000rpm_250702154813d","health_torque_circulation_20Nm_1000rpm_250702154813d","healthy","healthy","","torque_circulation","1000.0","20.0","train","test","train","val"
"mcc5_000230_health_torque_circulation_20Nm_2000rpm_250702155521d","health_torque_circulation_20Nm_2000rpm_250702155521d","healthy","healthy","","torque_circulation","2000.0","20.0","train","test","train","val"
"mcc5_000231_health_torque_circulation_20Nm_3000rpm_250702155743d","health_torque_circulation_20Nm_3000rpm_250702155743d","healthy","healthy","","torque_circulation","3000.0","20.0","val","test","val","test"
"mcc5_000232_health_torque_circulation_40Nm_1000rpm_250702161315d","health_torque_circulation_40Nm_1000rpm_250702161315d","healthy","healthy","","torque_circulation","1000.0","40.0","val","test","test","train"
"mcc5_000233_health_torque_circulation_40Nm_2000rpm_250702161114d","health_torque_circulation_40Nm_2000rpm_250702161114d","healthy","healthy","","torque_circulation","2000.0","40.0","train","test","test","train"
"mcc5_000234_health_torque_circulation_40Nm_3000rpm_250702160849d","health_torque_circulation_40Nm_3000rpm_250702160849d","healthy","healthy","","torque_circulation","3000.0","40.0","test","test","test","test"
